DATE,TOTAL_PRICESELL,holidayWeekS
2016-03-14,4785.659183636363,0
2016-03-21,7262.513381818185,2
2016-03-28,9176.321690909093,0
2016-04-04,9066.646440000002,0
2016-04-11,9226.801074545454,0
2016-04-18,8711.274085454548,1
2016-04-25,9827.046716363639,0
2016-05-02,9227.517617272732,0
2016-05-09,9781.19006727273,0
2016-05-16,9784.920068181818,0
2016-05-23,9748.77138818182,0
2016-05-30,10977.019338181828,0
2016-06-06,10913.003725454557,0
2016-06-13,10241.595093636373,0
2016-06-20,10205.919538181823,0
2016-06-27,9943.808262727274,0
2016-07-04,11407.842180909101,0
2016-07-11,10891.75233636364,0
2016-07-18,12036.392572727276,0
2016-07-25,11248.507723636369,0
2016-08-01,11616.747819090919,0
2016-08-08,11604.019180000007,0
2016-08-15,11498.797266363645,0
2016-08-22,11508.469938181823,0
2016-08-29,11416.205090909096,0
2016-09-05,11057.045433636376,0
2016-09-12,10322.775320000002,0
2016-09-19,10875.267360000003,0
2016-09-26,9948.516009090912,0
2016-10-03,10850.322017272727,0
2016-10-10,11711.059847272732,0
2016-10-17,11963.829960000003,0
2016-10-24,11945.038480909094,0
2016-10-31,12495.691369090913,0
2016-11-07,13217.57411818182,0
2016-11-14,13276.657122727278,0
2016-11-21,13196.234294545451,0
2016-11-28,12281.59530363637,0
2016-12-05,12219.011579999999,0
2016-12-12,12303.055683636368,0
2016-12-19,13344.818474545447,1
2016-12-26,8464.83812181818,3
2017-01-02,12343.51546,0
2017-01-09,12987.79408454546,0
2017-01-16,14511.511322727272,0
2017-01-23,11879.180337272723,1
2017-01-30,14276.389374545455,0
2017-02-06,13770.04629,0
2017-02-13,12911.535680909097,0
2017-02-20,12642.315258181827,0
2017-02-27,11919.594782727278,0
2017-03-06,11236.413823636361,0
2017-03-13,11486.705692727277,0
2017-03-20,11983.02028181819,0
2017-03-27,12319.907223636366,0
2017-04-03,12301.575480000005,0
2017-04-10,9045.536245454548,1
2017-04-17,10485.468695454552,0
2017-04-24,10621.505876363637,1
2017-05-01,11430.886971818181,0
2017-05-08,10281.639718181821,0
2017-05-15,9744.597542727279,0
2017-05-22,9439.451258181824,0
2017-05-29,8630.873161818186,0
2017-06-05,8972.680410000008,0
2017-06-12,9170.04143909091,0
2017-06-19,8968.351292727275,0
2017-06-26,9010.505685454551,0
2017-07-03,8977.322194545457,0
2017-07-10,9915.847529090915,0
2017-07-17,10931.934890909095,0
2017-07-24,10469.06292545455,0
2017-07-31,10442.83943272728,0
2017-08-07,10925.64078545455,0
2017-08-14,8846.022236363639,0
2017-08-21,9721.734314545462,0
2017-08-28,9873.076288181821,0
2017-09-04,9291.886740909093,0
2017-09-11,10753.298067272724,0
2017-09-18,10615.836685454551,0
2017-09-25,9149.438660000003,0
2017-10-02,10534.909591818185,0
2017-10-09,10843.320339090908,0
2017-10-16,11208.837431818187,0
2017-10-23,10599.147071818186,0
2017-10-30,10834.24125818182,0
2017-11-06,9755.060249090913,0
2017-11-13,11305.729894545457,0
