DATE,TOTAL_PRICESELL,holidayWeekS
2016-03-14,292.85886000000005,0
2016-03-21,528.1399799999999,39
2016-03-28,586.9109399999999,0
2016-04-04,474.1802199999999,0
2016-04-11,491.09385999999995,0
2016-04-18,558.5984200000001,13
2016-04-25,755.2334399999996,0
2016-05-02,468.62822,0
2016-05-09,492.0783600000002,0
2016-05-16,548.5410999999997,0
2016-05-23,532.07442,0
2016-05-30,552.7053600000002,0
2016-06-06,453.7355000000002,0
2016-06-13,398.80841999999984,0
2016-06-20,407.6984999999999,0
2016-06-27,419.34450000000004,0
2016-07-04,497.9091,0
2016-07-11,449.43244,0
2016-07-18,479.6626399999999,0
2016-07-25,522.6328400000001,0
2016-08-01,547.7299199999998,0
2016-08-08,491.0111999999999,0
2016-08-15,697.6306400000002,0
2016-08-22,549.67524,0
2016-08-29,398.85600000000005,0
2016-09-05,464.43559999999997,0
2016-09-12,378.99568000000005,0
2016-09-19,465.78216000000015,0
2016-09-26,431.1159599999999,0
2016-10-03,550.1641800000002,0
2016-10-10,814.0756200000003,0
2016-10-17,567.8591799999997,0
2016-10-24,556.67184,0
2016-10-31,646.8644000000004,0
2016-11-07,533.5330800000005,0
2016-11-14,703.7112199999999,0
2016-11-21,1019.6914000000006,0
2016-11-28,837.6214199999997,0
2016-12-05,537.9724600000001,0
2016-12-12,646.2176000000003,0
2016-12-19,641.7532600000002,33
2016-12-26,526.9531200000001,45
2017-01-02,768.7538999999998,0
2017-01-09,1174.8243400000001,0
2017-01-16,946.0966199999996,0
2017-01-23,588.51716,35
2017-01-30,665.7272599999994,0
2017-02-06,725.3584200000003,0
2017-02-13,540.4383200000002,0
2017-02-20,605.1404800000001,0
2017-02-27,586.0264800000003,0
2017-03-06,474.76496000000037,0
2017-03-13,535.2880200000003,0
2017-03-20,508.34873999999985,0
2017-03-27,786.7773399999998,0
2017-04-03,586.4195199999998,0
2017-04-10,289.30175999999994,23
2017-04-17,474.7771400000002,0
2017-04-24,462.87928000000005,28
2017-05-01,489.52792000000005,0
2017-05-08,778.6859800000004,0
2017-05-15,461.2861600000003,0
2017-05-22,472.53798,0
2017-05-29,323.0689,0
2017-06-05,383.2956999999999,0
2017-06-12,267.71382,0
2017-06-19,286.89534,0
2017-06-26,371.93045999999987,0
2017-07-03,664.46876,0
2017-07-10,442.30525999999986,0
2017-07-17,484.5839999999999,0
2017-07-24,460.56582000000003,0
2017-07-31,410.0355800000001,0
2017-08-07,587.1502000000008,0
2017-08-14,358.0687199999999,0
2017-08-21,468.8557399999999,0
2017-08-28,573.3914,0
2017-09-04,431.08344000000005,0
2017-09-11,447.32047999999986,0
2017-09-18,441.0775400000002,0
2017-09-25,456.03909999999996,0
2017-10-02,476.6887600000002,0
2017-10-09,387.40515999999997,0
2017-10-16,455.3012600000002,0
2017-10-23,408.44945999999993,0
2017-10-30,502.7719400000001,0
2017-11-06,525.0923600000001,0
2017-11-13,486.69364999999993,0
2017-11-20,530.5348600000001,0
2017-11-27,483.7489800000001,0
2017-12-04,529.2164,0
2017-12-11,486.0143,0
2017-12-18,472.6872799999999,0
2017-12-25,177.49725999999998,0
2018-01-01,538.6041200000002,0
2018-01-08,617.2201399999997,0
2018-01-15,1003.8829400000003,0
2018-01-22,744.2583200000001,23
2018-01-29,429.21718,0
2018-02-05,598.1252400000003,0
2018-02-12,566.2858000000003,0
2018-02-19,401.65588,0
2018-02-26,510.2856399999999,0
2018-03-05,413.51314000000025,0
2018-03-12,495.8677000000002,0
2018-03-19,406.85189999999994,0
2018-03-26,300.11295999999993,19
2018-04-02,425.60195999999996,0
2018-04-09,369.0400800000001,0
2018-04-16,389.9405800000001,0
2018-04-23,390.19924000000003,0
2018-04-30,333.2341400000001,0
2018-05-07,420.79091999999974,0
2018-05-14,308.4780400000002,0
2018-05-21,276.70732000000004,0
2018-05-28,365.7142200000001,0
2018-06-04,360.01466,0
2018-06-11,368.95888000000025,0
2018-06-18,327.35798,0
2018-06-25,347.2413599999999,0
2018-07-02,383.75140000000005,0
2018-07-09,337.63105999999993,0
2018-07-16,356.97441999999984,0
2018-07-23,338.75446000000005,0
2018-07-30,416.83167999999995,0
2018-08-06,425.3214800000002,0
2018-08-13,280.1969,0
2018-08-20,395.87324,0
2018-08-27,481.20058000000034,0
2018-09-03,459.7392199999999,0
2018-09-10,324.12528000000003,0
2018-09-17,502.19951999999984,0
2018-09-24,383.45364000000023,0
2018-10-01,399.1190200000001,0
2018-10-08,399.0212000000002,0
2018-10-15,451.43848000000037,0
2018-10-22,511.12102000000004,0
2018-10-29,360.20612000000017,0
2018-11-05,419.0630799999999,0
2018-11-12,368.80306000000036,0
2018-11-19,352.52022000000017,0
2018-11-26,395.63158000000016,0
2018-12-03,405.27657999999997,0
2018-12-10,300.8688800000001,0
2018-12-17,469.82944000000003,0
2018-12-24,233.63917999999993,0
2018-12-31,430.32726000000014,0
2019-01-07,383.6333600000001,0
2019-01-14,413.71358,0
2019-01-21,308.86398000000014,25
2019-01-28,345.3760200000001,0
2019-02-04,418.5107800000002,0
2019-02-11,387.0248800000002,0
2019-02-18,313.6454600000003,0
2019-02-25,463.4896,0
2019-03-04,358.49352,0
2019-03-11,351.67142,0
2019-03-18,360.27330000000006,0
2019-03-25,333.60644000000013,0
2019-04-01,393.23267999999985,0
2019-04-08,376.65002000000027,0
2019-04-15,323.1063799999999,17
2019-04-22,460.4253400000002,23
2019-04-29,360.59875999999997,0
2019-05-06,625.4150999999995,0
2019-05-13,398.37799999999993,0
2019-05-20,439.80832000000004,0
2019-05-27,353.2666400000002,0
2019-06-03,437.99956000000003,0
2019-06-10,412.31728000000004,0
2019-06-17,340.09538000000003,0
2019-06-24,317.7181800000001,0
2019-07-01,357.3946800000003,0
2019-07-08,515.8761599999998,0
2019-07-15,518.7149200000001,0
2019-07-22,483.6808200000001,0
2019-07-29,471.5642200000002,0
2019-08-05,347.3434399999998,0
2019-08-12,329.2520999999999,0
2019-08-19,310.0681199999999,0
2019-08-26,362.2997200000003,0
2019-09-02,307.46912000000003,0
2019-09-09,277.06074,0
2019-09-16,323.6442399999998,0
2019-09-23,298.2968400000001,0
2019-09-30,458.72496000000024,0
2019-10-07,339.52117999999996,0
